Time_stamp,Seconds,X,Y,Z,Profile,Activity
1/8/2020 19:24,0.001,-0.052734375,0.048858643,-0.08302307,AR,stairsu
1/8/2020 19:24,0.01,0.05659485,0.2528839,-0.061035156,AR,stairsu
1/8/2020 19:24,0.01,0.043167114,0.25227356,-0.10256958,AR,stairsu
1/8/2020 19:24,0.011,-1.98E-04,0.21440125,-0.15022278,AR,stairsu
1/8/2020 19:24,0.009,-0.03440857,0.12826538,-0.18685913,AR,stairsu
1/8/2020 19:24,0.01,-0.02708435,0.0519104,-0.22229004,AR,stairsu
1/8/2020 19:24,0.01,0.024841309,-0.012832642,-0.26078796,AR,stairsu
1/8/2020 19:24,0.01,0.07371521,-0.090423584,-0.2717743,AR,stairsu
1/8/2020 19:24,0.01,0.095703125,-0.20159912,-0.26260376,AR,stairsu
1/8/2020 19:24,0.01,0.08226013,-0.29444885,-0.2558899,AR,stairsu
1/8/2020 19:24,0.01,0.07247925,-0.32070923,-0.26811218,AR,stairsu
1/8/2020 19:24,0.011,0.1207428,-0.30055237,-0.29866028,AR,stairsu
1/8/2020 19:24,0.009,0.20687866,-0.24923706,-0.31332397,AR,stairsu
1/8/2020 19:24,0.011,0.3040161,-0.1484375,-0.31210327,AR,stairsu
1/8/2020 19:24,0.009,0.38586426,-0.006729126,-0.27360535,AR,stairsu
1/8/2020 19:24,0.01,0.44450378,0.13194275,-0.20091248,AR,stairsu
1/8/2020 19:24,0.01,0.4884796,0.25227356,-0.104400635,AR,stairsu
1/8/2020 19:24,0.01,0.5129242,0.283432,-0.04698181,AR,stairsu
1/8/2020 19:24,0.01,0.54774475,0.24739075,-0.006668091,AR,stairsu
1/8/2020 19:24,0.01,0.6216583,0.19851685,0.022033691,AR,stairsu
1/8/2020 19:24,0.011,0.7676544,0.11116028,0.047698975,AR,stairsu
1/8/2020 19:24,0.009,0.8269043,0.054351807,0.044647217,AR,stairsu
1/8/2020 19:24,0.01,0.7908783,-0.018951416,0.048309326,AR,stairsu
1/8/2020 19:24,0.01,0.6503601,0.009750366,-0.004821777,AR,stairsu
1/8/2020 19:24,0.01,0.4481659,0.23150635,-0.084854126,AR,stairsu
1/8/2020 19:24,0.01,0.30949402,0.5345001,-0.047592163,AR,stairsu
1/8/2020 19:24,0.011,0.36265564,0.7006531,-0.11479187,AR,stairsu
1/8/2020 19:24,0.009,0.41029358,0.5821533,-0.1111145,AR,stairsu
1/8/2020 19:24,0.01,0.3980713,0.39033508,-0.05369568,AR,stairsu
1/8/2020 19:24,0.01,0.32844543,0.26815796,0.014724731,AR,stairsu
1/8/2020 19:24,0.01,0.20748901,0.20462036,0.07090759,AR,stairsu
1/8/2020 19:24,0.01,0.063934326,0.28831482,0.100234985,AR,stairsu
1/8/2020 19:24,0.01,0.008956909,0.5949707,0.09350586,AR,stairsu
1/8/2020 19:24,0.011,0.008346558,1.0586243,0.09350586,AR,stairsu
1/8/2020 19:24,0.009,0.051101685,1.580307,0.13259888,AR,stairsu
1/8/2020 19:24,0.01,0.07737732,2.0360107,0.20652771,AR,stairsu
1/8/2020 19:24,0.01,0.06210327,2.234558,0.28105164,AR,stairsu
1/8/2020 19:24,0.011,0.02116394,2.0005798,0.30792236,AR,stairsu
1/8/2020 19:24,0.009,-0.015472412,1.6334534,0.32809448,AR,stairsu
1/8/2020 19:24,0.01,-0.037460327,0.893692,0.3647461,AR,stairsu
1/8/2020 19:24,0.01,0.02545166,0.37506104,0.41667175,AR,stairsu
1/8/2020 19:24,0.011,0.10119629,0.23699951,0.45820618,AR,stairsu
1/8/2020 19:24,0.009,0.11218262,0.2675476,0.29266357,AR,stairsu
1/8/2020 19:24,0.01,0.04866028,0.51005554,-0.040252686,AR,stairsu
1/8/2020 19:24,0.01,0.023010254,1.0121918,-0.40615845,AR,stairsu
1/8/2020 19:24,0.01,0.11402893,1.4489746,-0.59065247,AR,stairsu
1/8/2020 19:24,0.01,0.3156128,1.609024,-0.64746094,AR,stairsu
1/8/2020 19:24,0.01,0.65830994,1.5027161,-0.70365906,AR,stairsu
1/8/2020 19:24,0.011,0.7957611,1.3848267,-0.6847229,AR,stairsu
1/8/2020 19:24,0.009,1.1250153,1.3035889,-0.4690857,AR,stairsu
1/8/2020 19:24,0.01,1.2948303,1.3628387,-0.07141113,AR,stairsu
1/8/2020 19:24,0.011,1.3944092,1.3897095,0.23951721,AR,stairsu
1/8/2020 19:24,0.009,1.4090729,1.2840271,0.34153748,AR,stairsu
1/8/2020 19:24,0.01,1.3553162,1.2235565,0.33969116,AR,stairsu
1/8/2020 19:24,0.01,1.2801819,1.2864838,0.2975464,AR,stairsu
1/8/2020 19:24,0.011,1.2624664,1.4764557,0.2828827,AR,stairsu
1/8/2020 19:24,0.009,1.307663,1.7287445,0.29022217,AR,stairsu
1/8/2020 19:24,0.011,1.3827972,1.878418,0.30303955,AR,stairsu
1/8/2020 19:24,0.009,1.3919678,1.875351,0.34275818,AR,stairsu
1/8/2020 19:24,0.011,1.2710114,1.6914825,0.386734,AR,stairsu
1/8/2020 19:24,0.009,1.0095673,1.1765137,0.35069275,AR,stairsu
1/8/2020 19:24,0.01,0.88249207,0.7922821,0.29022217,AR,stairsu
1/8/2020 19:24,0.01,0.7542267,0.39582825,0.16255188,AR,stairsu
1/8/2020 19:24,0.01,0.7016907,0.47035217,0.2016449,AR,stairsu
1/8/2020 19:24,0.011,0.73161316,0.7281494,0.28900146,AR,stairsu
1/8/2020 19:24,0.009,0.7774353,1.0036469,0.34579468,AR,stairsu
1/8/2020 19:24,0.01,0.8831177,1.4581299,0.38612366,AR,stairsu
1/8/2020 19:24,0.01,1.0040588,1.7208099,0.43559265,AR,stairsu
1/8/2020 19:24,0.01,1.0773621,1.7128754,0.40444946,AR,stairsu
1/8/2020 19:24,0.011,1.0541534,1.6004639,0.3146515,AR,stairsu
1/8/2020 19:24,0.009,0.9887848,1.3549042,0.23706055,AR,stairsu
1/8/2020 19:24,0.01,0.8928833,1.1032257,0.19552612,AR,stairsu
1/8/2020 19:24,0.01,0.73405457,0.97309875,0.14544678,AR,stairsu
1/8/2020 19:24,0.01,0.5801239,0.9211731,0.10328674,AR,stairsu
1/8/2020 19:24,0.01,0.4341278,0.9450073,0.10694885,AR,stairsu
1/8/2020 19:24,0.01,0.31134033,1.0537262,0.21751404,AR,stairsu
1/8/2020 19:24,0.01,0.24291992,1.2137909,0.34213257,AR,stairsu
1/8/2020 19:24,0.01,0.28079224,1.451416,0.43865967,AR,stairsu
1/8/2020 19:24,0.011,0.39501953,1.627945,0.45759583,AR,stairsu
1/8/2020 19:24,0.009,0.55018616,1.7690582,0.44110107,AR,stairsu
1/8/2020 19:24,0.01,0.6894684,1.9028473,0.41667175,AR,stairsu
1/8/2020 19:24,0.01,0.7682648,2.0531158,0.40872192,AR,stairsu
1/8/2020 19:24,0.011,0.765213,2.100769,0.3513031,AR,stairsu
1/8/2020 19:24,0.009,0.40785217,1.8747406,0.1564331,AR,stairsu
1/8/2020 19:24,0.01,-0.037460327,1.4807281,0.031814575,AR,stairsu
1/8/2020 19:24,0.01,-0.5218811,1.0128174,-0.048202515,AR,stairsu
1/8/2020 19:24,0.01,-0.9720917,0.49845886,-0.04269409,AR,stairsu
1/8/2020 19:24,0.01,-1.1474152,0.19973755,0.019592285,AR,stairsu
1/8/2020 19:24,0.01,-1.1834564,0.025634766,0.05380249,AR,stairsu
1/8/2020 19:24,0.01,-1.0771637,-0.0158844,0.055648804,AR,stairsu
1/8/2020 19:24,0.011,-0.8969574,0.065963745,0.0574646,AR,stairsu
1/8/2020 19:24,0.009,-0.713089,0.23699951,0.044647217,AR,stairsu
1/8/2020 19:24,0.01,-0.5426483,0.55892944,0.022659302,AR,stairsu
1/8/2020 19:24,0.01,-0.4754486,0.78800964,0.034866333,AR,stairsu
1/8/2020 19:24,0.01,-0.4742279,0.89979553,0.1063385,AR,stairsu
1/8/2020 19:24,0.011,-0.59213257,0.8973541,0.27983093,AR,stairsu
1/8/2020 19:24,0.009,-0.86213684,0.78434753,0.64941406,AR,stairsu
1/8/2020 19:24,0.01,-1.2268372,0.37506104,0.9407959,AR,stairsu
1/8/2020 19:24,0.01,-1.6403961,-0.14477539,0.95666504,AR,stairsu
1/8/2020 19:24,0.011,-2.0209503,-0.58766174,0.6701813,AR,stairsu
1/8/2020 19:24,0.009,-2.2995148,-0.91386414,0.20713806,AR,stairsu
1/8/2020 19:24,0.01,-2.4839935,-1.2376251,-0.40005493,AR,stairsu
1/8/2020 19:24,0.01,-2.5768433,-1.5088501,-0.7653656,AR,stairsu
1/8/2020 19:24,0.01,-2.7008514,-1.8301697,-1.0378113,AR,stairsu
1/8/2020 19:24,0.011,-2.8749542,-2.1514893,-1.2051849,AR,stairsu
1/8/2020 19:24,0.009,-3.0294952,-2.454483,-1.2809296,AR,stairsu
1/8/2020 19:24,0.01,-3.0655518,-2.9535675,-1.3634033,AR,stairsu
1/8/2020 19:24,0.01,-2.9873505,-3.318863,-1.4684753,AR,stairsu
1/8/2020 19:24,0.01,-2.8260803,-3.59375,-1.5423889,AR,stairsu
1/8/2020 19:24,0.01,-2.5511932,-3.8106232,-1.6346283,AR,stairsu
1/8/2020 19:24,0.01,-2.2292633,-3.8423767,-1.7268677,AR,stairsu
1/8/2020 19:24,0.01,-1.8279266,-3.70372,-1.8502655,AR,stairsu
1/8/2020 19:24,0.01,-1.5127106,-3.495407,-1.9938202,AR,stairsu
