Time_stamp,Seconds,X,Y,Z
1/9/2020 19:06,0.1,0.17012024,0.4790802,0.18521118
1/9/2020 19:06,0.1,0.252594,0.5193939,0.18399048
1/9/2020 19:06,0.1,0.020462036,0.099121094,0.1583252
1/9/2020 19:06,0.1,-0.2599182,-0.30892944,0.32632446
1/9/2020 19:06,0.101,-0.18295288,-0.08291626,0.3764038
1/9/2020 19:06,0.099,-0.060775757,-0.04748535,0.49246216
1/9/2020 19:06,0.1,0.24708557,-0.07069397,0.41488647
1/9/2020 19:06,0.1,0.13162231,-0.0309906,0.31532288
1/9/2020 19:06,0.1,-0.08093262,-0.056030273,0.23895264
1/9/2020 19:06,0.1,-0.34544373,-0.11405945,0.17237854
1/9/2020 19:06,0.1,-0.0736084,-0.03892517,-0.054244995
1/9/2020 19:06,0.101,0.03694153,-0.037704468,-0.022476196
1/9/2020 19:06,0.099,0.047943115,0.02520752,-0.005996704
1/9/2020 19:06,0.1,0.24220276,0.091781616,-0.017593384
1/9/2020 19:06,0.1,0.096191406,-0.09513855,-0.106170654
1/9/2020 19:06,0.101,-0.007019043,-0.085357666,-0.13793945
1/9/2020 19:06,0.099,0.018615723,-0.08718872,-0.10983276
1/9/2020 19:06,0.1,-0.024124146,-0.11528015,-0.10800171
1/9/2020 19:06,0.1,-0.024124146,-0.08596802,-0.08050537
1/9/2020 19:06,0.1,-0.025970459,-0.028549194,-0.09150696
1/9/2020 19:06,0.1,0.1078186,0.091781616,-0.053024292
1/9/2020 19:06,0.101,-0.07299805,-0.09513855,-0.057296753
1/9/2020 19:06,0.099,-0.011306763,0.016647339,-0.030426025
1/9/2020 19:06,0.1,-0.002746582,0.09727478,0.037368774
1/9/2020 19:06,0.1,0.012512207,0.002609253,0.019042969
1/9/2020 19:06,0.1,0.03878784,-0.037704468,-0.004150391
1/9/2020 19:06,0.1,-0.001525879,-0.06581116,0.001342773
1/9/2020 19:06,0.1,0.002731323,-0.005950928,0.07463074
1/9/2020 19:06,0.1,-0.019241333,-0.02671814,0.18154907
1/9/2020 19:06,0.101,0.008239746,0.014205933,0.15100098
1/9/2020 19:06,0.099,-0.03390503,0.2970276,0.15771484
1/9/2020 19:06,0.1,0.043670654,0.15837097,0.13023376
1/9/2020 19:06,0.101,0.027786255,0.19563293,0.1607666
1/9/2020 19:06,0.099,-0.013137817,0.10949707,0.1436615
1/9/2020 19:06,0.1,-0.008239746,0.1003418,0.14060974
1/9/2020 19:06,0.101,0.022903442,0.11071777,0.11312866
1/9/2020 19:06,0.099,0.035110474,0.08016968,0.10395813
1/9/2020 19:06,0.1,0.01739502,0.063690186,0.07524109
1/9/2020 19:06,0.1,0.0907135,-0.04260254,-0.06036377
