time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.900009,0.693336,-1.035555,-1.458547
4.930130,0.641963,-0.626333,-0.869106
4.960251,0.629083,-0.980219,-0.609651
4.990372,0.558922,-0.862002,-0.882414
5.030534,0.291855,-1.344834,-1.171504
5.060655,-0.066698,-0.996053,-1.045863
5.090775,0.098775,-1.007139,-0.886746
5.130937,1.016640,-1.045787,-0.699665
5.161058,0.687107,-1.061649,-0.542922
5.191179,0.038995,-0.914740,-0.465718
5.231340,0.324062,-0.846463,-0.611628
5.261465,0.672068,-0.607241,-0.614614
5.291586,0.498436,-0.398376,-0.333635
5.331747,-0.042495,-0.535893,-0.116313
5.361868,0.078011,-0.530304,-0.014703
5.391989,0.378750,-0.219081,-0.006028
5.432151,-0.210385,-0.080462,0.122057
5.462272,-0.570125,-0.345268,0.180429
5.492393,-0.525587,-0.597671,0.212145
5.532554,0.120770,-0.088507,-0.088215
5.562675,0.003293,0.046601,0.039548
5.592796,0.040411,-0.137405,-0.035748
5.632957,0.337538,0.054523,-0.346266
5.663078,-0.010672,0.029463,-0.255353
5.693199,0.141328,-0.137290,-0.209577
5.733361,0.454770,0.006811,-0.260806
5.763482,0.257217,0.277640,-0.121467
5.793602,0.004481,0.217268,0.059713
5.823723,-0.990140,0.248917,0.222879
5.863885,-1.178496,0.839130,0.036994
5.894006,-0.422217,1.394234,0.238960
5.924127,0.370933,1.705607,0.601308
5.964288,-0.090184,1.613681,0.855538
5.994409,-1.109186,1.069568,0.835521
6.024530,-0.890172,1.010119,0.943402
6.064691,-0.549696,1.284438,1.039823
6.094812,-0.859524,1.133369,0.949336
6.124933,-1.273522,1.012811,1.077802
6.165095,-0.675803,1.100014,1.164886
6.195216,-0.568443,0.850185,1.112279
6.225337,-0.526310,0.941357,1.326745
6.265495,-0.603125,0.853533,1.068051
6.295616,-0.432044,0.957769,0.754997
6.325737,-0.172489,0.777297,0.496304
6.365898,0.235153,0.606034,0.452015
6.396019,0.114392,0.421209,0.356816
6.426140,-0.020965,0.094027,0.158832
6.466302,0.316067,-0.411273,-0.271288
6.496423,0.363730,-0.702509,-0.567058
6.526544,0.262161,-0.553397,-0.343173
6.566705,0.686576,-0.176065,0.052410
6.596826,0.797124,-0.904079,-1.244035
6.626947,0.529653,-0.477544,-1.540449
6.657068,-0.056897,-1.598146,-1.272648
6.697229,0.647361,-0.555164,-0.436848
6.727350,0.997178,-0.917770,-0.944092
6.757471,1.202929,-1.053452,-0.978344
6.797632,0.139832,-0.980900,-0.721459
6.827753,0.185937,-1.000724,-0.700592
6.857874,0.641246,-0.980302,-0.839608
6.898036,0.918750,-1.025030,-0.913612
6.928157,0.975388,-0.976451,-1.003052
6.958278,0.758487,-0.881996,-0.761607
6.998439,0.645551,-0.565263,-0.725413
7.028560,0.385461,-0.696227,-0.778896
7.058681,0.037413,-0.572554,-0.501582
7.098842,-0.359990,-0.631693,-0.236293
