time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.274910,-0.278680,0.644916,1.305328
4.315067,-1.496760,-0.746793,0.704975
4.345184,-1.584098,-0.561834,0.301870
4.375302,-1.090875,-0.698543,-0.016940
4.415459,-0.468112,-0.628392,-0.402870
4.445576,-0.139408,-0.993320,-0.469085
4.485733,-0.710849,-1.272961,-0.871620
4.515850,-1.061916,-0.765482,-0.537731
4.545968,-1.623030,0.048691,0.658977
4.576086,-0.909302,0.133864,0.919727
4.606203,-1.735389,0.125855,0.450117
4.636355,-0.651990,0.410239,0.084078
4.666473,0.477061,-0.477032,-0.161127
4.706629,0.553780,-0.183809,-0.256742
4.736747,0.346750,0.355035,-0.684009
4.766864,1.250328,0.096642,-0.523550
4.807021,2.154924,-0.699835,-0.323015
4.837139,2.332278,-0.774366,-0.512497
4.867256,1.801022,0.280163,-0.817280
4.907413,1.245729,-0.511284,-0.829285
4.937531,1.191906,-0.998471,-0.555403
4.967648,0.977332,-0.865471,-0.496296
5.007805,0.748712,-0.708744,-0.660247
5.037922,-0.302686,-0.084984,-0.831741
5.068040,-0.526259,0.595663,-1.168831
5.108197,0.227503,0.543245,-0.999085
5.138314,-0.054071,0.936096,-0.549591
5.168432,0.368132,1.325544,-0.217583
5.208589,-0.277013,1.908423,0.404797
5.238706,-1.130290,2.343840,0.797624
5.268824,-2.263334,3.131486,0.986213
5.298941,-1.746340,2.502518,0.486898
5.339098,-2.249964,1.608951,1.071733
5.369216,-1.702737,1.529701,1.088364
5.399333,-0.783760,1.455252,0.788917
5.439489,-1.438021,0.145220,0.990427
5.469607,-1.542692,-0.377351,0.918176
5.499724,-1.356869,-0.595746,0.849568
5.539881,-1.060170,-1.623572,0.473486
5.569998,-0.403895,-1.701795,-0.038401
5.600116,-0.514449,-1.473689,-0.328797
5.640273,-1.616228,-1.929090,-0.268464
5.670390,-1.744891,-0.262496,-0.152134
5.700508,-1.565858,1.205277,0.577184
5.740665,-0.583516,-0.268873,0.704090
5.770782,-0.119363,-0.276384,0.783777
5.800900,1.177753,-1.694260,0.301892
5.841056,-2.798839,1.217592,-0.282576
5.871174,2.606462,0.181576,-0.987222
5.901292,2.240857,0.391531,-0.616896
5.941448,0.091867,-1.028405,-0.855668
5.971566,0.725923,-2.767893,-0.445337
6.001683,1.149681,-1.670183,-0.300272
6.041840,0.055094,-0.509946,-0.280230
6.071958,0.229167,-1.192284,-0.359715
6.102075,1.193232,-1.787479,-0.230643
6.142232,0.783477,-0.755861,-0.295140
6.172350,0.511763,-0.479336,-0.292360
6.202467,0.500329,-0.137046,-0.268722
6.232585,0.276313,0.091284,-0.266348
6.272742,0.309068,0.457722,-0.283369
6.302859,0.461945,0.922180,-0.160966
6.332977,-0.083772,1.846023,0.125325
6.373133,-0.428332,2.704866,0.136565
6.403251,-1.177436,2.668048,-0.086705
6.433369,-1.304626,1.791825,0.280248
6.473525,-0.181669,2.237310,1.050611
6.503643,0.794088,1.828790,0.612439
6.533760,-0.393217,1.322753,0.413973
6.573917,-2.190128,0.311063,0.638905
6.604035,-2.215827,-0.086131,0.640579
6.634152,-2.063417,-0.299841,0.772548
6.674309,-0.855819,-0.397298,0.283813
6.704427,-0.951098,-1.125664,0.238462
6.734544,-1.075783,-1.995369,0.323534
6.774701,-0.677398,-1.603395,0.158420
6.804818,0.275980,0.705614,0.285832
6.834936,1.362868,2.587698,0.537266
6.875093,1.519593,1.314611,0.459870
6.905210,1.367259,0.046837,0.568870
6.935328,0.681868,-0.320878,0.157877
6.975485,-1.305852,-1.231680,-0.111525
7.005602,-0.456136,-0.773996,-0.213138
7.035720,0.391549,0.814406,-0.010038
7.065837,0.686638,-0.289129,0.266672
7.105994,0.623629,-3.062433,0.572356
7.136111,0.313942,-3.331469,0.380989
7.166229,-0.265063,-1.753185,0.071602
7.206386,-0.186918,-0.700186,0.205045
7.236503,0.285534,-0.911278,0.405530
7.266621,0.855343,-1.137962,0.450806
7.306778,0.512345,-1.538858,-0.013094
7.336895,0.564181,-0.857213,-0.004908
7.367013,1.002112,-0.626599,-0.393608
7.407169,0.770663,-0.140107,-0.505628
7.437290,0.502076,0.130330,-0.680684
7.467408,-0.098059,0.868631,-0.669021
7.507564,-0.324590,2.497375,-0.818901
7.537682,-0.601713,2.438912,-0.296012
7.567799,-0.497932,1.857961,0.673673
7.607956,0.758003,1.432306,0.595466
7.638074,0.392583,1.678849,0.494652
7.668191,0.247547,2.407198,0.711657
7.708348,-1.569519,0.629949,0.735072
7.738466,-1.765618,-0.162270,0.684673
7.768583,-1.372832,-0.063344,0.668960
7.808740,-0.413746,-0.385988,0.469447
7.838857,0.174190,-0.970672,0.077095
7.868975,0.276817,-1.368862,0.009916
7.899093,-0.155946,-1.363399,-0.028714
7.939249,-0.851530,-0.172114,0.447636
7.969367,-1.003798,0.382764,0.729895
7.999484,-1.531247,-0.119368,0.588473
8.039641,0.302314,0.592423,0.706580
8.069759,1.639124,-0.332762,0.124703
8.099876,-0.753630,-0.481574,-0.276869
8.140033,0.800823,-0.028486,-0.370589
8.170150,1.408361,-0.736777,0.129113
8.200268,0.945283,-1.805706,0.315099
8.240425,0.163383,-1.389113,0.216260
8.270542,1.045787,-0.859739,-0.158606
8.300660,0.510856,-1.160055,-0.460728
8.340817,0.407901,-1.102770,0.044003
8.370934,-0.152303,-1.479802,0.224090
8.401052,-1.284755,-1.079075,0.645756
8.441209,0.732545,-0.108105,0.218488
8.471327,-0.151566,0.004603,0.273095
8.501444,-0.013976,0.500393,0.169206
8.547841,0.133173,0.989952,0.113882
8.577959,-0.351935,1.657583,-0.168474
8.608076,-1.460242,2.655070,-0.333143
8.648233,-1.151539,2.681082,0.211347
8.678351,0.004884,2.308208,0.642065
8.708468,1.100789,1.108826,0.706460
8.748625,0.040835,0.090436,-0.091684
8.778743,-1.493899,1.108355,0.321263
8.808860,-2.077985,0.478687,0.906304
8.849017,-1.763179,-0.811470,0.383516
8.879134,-1.288986,-1.074047,0.317415
8.909252,-0.397864,-1.387748,0.139400
8.949409,0.679129,-2.323402,-1.227866
8.979526,0.693842,-2.643608,-1.455258
9.009644,0.072997,-1.760569,-0.780146
9.049801,-1.621636,0.589470,0.079470
9.079918,-1.007520,0.040774,-0.155553
9.110036,-0.875925,-0.834887,-0.169464
9.150192,0.634099,0.340575,0.103566
9.180310,1.263461,-0.257847,-0.373410
9.210427,0.194003,-0.594399,-0.428023
9.240545,1.715762,-0.356218,-0.483862
9.280702,2.492697,-0.306881,0.242486
9.310819,2.014340,-1.713653,0.050581
9.340937,1.513853,-2.211907,-0.156109
9.381094,0.964844,-0.636640,-0.046155
9.411211,1.228405,-0.816568,0.032137
9.441325,0.973232,-1.519527,0.062475
9.481481,0.778996,-1.452310,0.029897
9.511599,0.919280,-1.073948,-0.173116
9.541716,0.718828,-0.204140,-0.295134
9.581873,1.120836,0.247949,-0.117970
9.611991,1.234561,-0.190230,-0.246308
9.642108,0.998356,0.197157,-0.339963
9.682265,0.667863,0.709374,0.028293
9.712383,0.055769,1.669814,-0.015581
9.742500,-1.308477,2.917244,-0.138214
9.782657,-2.600439,2.877951,-0.322007
9.812775,-2.416585,2.211384,0.057464
9.842892,-1.202795,2.509324,0.362162
9.883049,-0.565315,2.853578,0.431896
9.913166,-1.630781,2.065201,0.603956
9.943284,-1.990790,1.133516,0.744110
9.983441,-2.083506,0.216314,0.436241
10.013558,-1.389870,-0.094281,0.362716
10.043676,-0.551059,-0.569966,0.366005
10.083832,0.361819,-1.375088,0.012074
10.113950,1.188616,-2.296180,-0.222149
10.144068,0.808774,-1.425974,-0.015708
10.174185,-0.328740,1.042359,0.107505
10.214342,-0.824934,0.572750,0.464536
10.244459,-0.150684,-0.055849,-0.152364
10.274577,0.664774,0.711815,-0.106358
10.314734,0.819484,-0.708513,-0.259222
10.344851,0.433618,-0.930368,-0.572029
10.374969,0.878840,-1.013769,-0.463772
10.415126,1.092609,-1.908024,0.254103
10.445243,1.835380,-2.422910,0.348255
10.475361,1.343248,-1.255270,-0.054835
10.515517,1.524733,-0.474554,-0.138821
10.545635,1.832732,-1.202434,0.108614
10.575753,1.703811,-1.737898,0.101685
10.615909,1.094538,-0.793391,0.076222
10.646027,0.555420,-0.730612,-0.195109
10.676144,0.825504,-0.419843,-0.244420
10.716301,0.685676,0.164594,-0.015322
10.746419,0.878327,0.185119,-0.212890
10.776536,0.748115,0.376401,-0.060950
10.816693,-0.167931,1.683217,-0.240459
10.846811,-1.780062,2.948801,-0.163143
10.876928,-2.624252,3.151311,-0.233191
10.917085,-2.013981,1.824581,0.448172
10.947202,-1.308854,2.535147,0.835522
10.977320,-0.795800,2.481107,0.824852
