time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.801829,-0.009604,-0.004187,-0.000440
4.831947,-0.008717,-0.006469,-0.001280
4.862066,-0.002044,-0.004456,-0.000836
4.902224,-0.007864,-0.003175,-0.000658
4.932343,-0.014845,-0.017830,-0.005045
4.962461,-0.017892,-0.011556,-0.003518
5.002619,0.010588,0.010299,-0.001905
5.032738,-0.002383,-0.003571,-0.001397
5.062857,-0.004680,-0.003053,-0.000043
5.103015,0.000753,0.002965,-0.000982
5.133133,-0.005605,-0.003634,-0.000205
5.163252,0.006273,0.001525,-0.001901
5.193370,0.002507,-0.001678,-0.000816
5.233529,-0.008464,-0.008873,0.000799
5.263647,0.008521,0.013378,-0.005168
5.293766,-0.002636,0.007842,0.001276
5.333924,-0.006982,-0.012721,0.002932
5.364043,0.002170,-0.000485,-0.002066
5.394161,0.006423,0.010774,-0.000926
5.434319,-0.004494,-0.004464,-0.001034
5.464438,0.002835,-0.001924,-0.002504
5.494556,-0.002664,-0.004694,-0.001041
5.534715,-0.007283,-0.003961,-0.003624
5.564833,0.007791,0.005634,-0.003744
5.594952,0.000364,-0.002902,-0.000444
5.635110,-0.000562,-0.002451,0.000092
5.665229,0.000917,0.002421,-0.005868
5.695347,0.011899,0.013710,-0.002858
5.735505,-0.007404,-0.003442,0.000033
5.765624,0.000753,-0.010056,0.001943
5.795743,0.008397,0.009668,-0.001916
5.835901,-0.001672,0.000780,0.000468
5.866019,-0.018948,-0.017189,-0.004136
5.896138,-0.003360,-0.003949,-0.007126
5.936296,-0.006175,-0.006897,0.003801
5.966415,-0.006641,-0.012077,0.003961
5.996533,-0.001714,-0.007489,-0.001773
6.026652,0.004781,0.008523,-0.004145
6.066810,0.000542,-0.004420,0.001224
6.096929,0.003632,-0.010766,0.004326
6.127047,0.010548,0.004027,-0.000227
6.167205,-0.005360,-0.005835,0.000293
6.197324,0.001215,0.004790,-0.001401
6.227443,-0.012958,-0.009984,-0.000020
6.267601,-0.016603,-0.023868,-0.000063
6.297719,0.007330,0.004931,-0.003687
6.327838,0.000058,-0.002166,-0.002969
6.367996,0.001966,0.001528,-0.000870
6.398115,0.001016,-0.001118,-0.003599
6.428233,-0.001292,0.002233,-0.000381
6.468391,-0.008774,-0.011529,-0.000176
6.498510,-0.002727,-0.004311,-0.001733
6.528629,-0.001756,0.001426,-0.003331
6.568787,-0.005659,-0.008771,0.001428
6.598905,0.002064,0.000584,-0.001981
6.629024,-0.008892,-0.002032,-0.003090
6.669182,-0.002726,-0.003906,-0.001687
6.699301,-0.002674,-0.008687,0.000331
6.729419,-0.000412,-0.000225,0.003129
6.769577,0.002800,0.004613,-0.006781
6.799696,-0.013022,-0.004874,-0.005614
6.829815,-0.018929,-0.020316,-0.001659
6.859933,-0.006294,-0.013465,0.000974
6.900091,-0.010443,-0.007537,-0.000953
6.930210,-0.017879,-0.013228,-0.003280
6.960329,-0.023015,-0.018278,-0.002736
7.000487,-0.002451,-0.000039,-0.003204
7.030605,-0.002018,-0.006875,0.000525
7.060724,-0.014994,-0.012458,-0.001871
7.100882,-0.004365,0.003545,0.000050
7.131001,-0.013662,-0.011012,0.001139
7.161119,-0.004388,-0.003291,-0.002935
7.201277,0.009270,0.015115,-0.004793
7.231396,-0.009738,-0.012240,0.002467
7.261515,0.002060,-0.003614,0.000628
7.301673,0.023273,0.029818,-0.006506
7.331791,0.005139,0.011187,-0.000811
7.361910,-0.007566,-0.007471,0.003272
7.402068,0.003472,-0.008578,-0.001194
7.432187,0.004293,0.006447,-0.002219
7.462305,-0.002463,0.006640,-0.004198
7.502463,0.006732,-0.003595,0.000499
7.532582,0.004509,-0.002560,0.000689
7.562701,0.003624,0.007185,-0.002589
7.602859,-0.003086,-0.001450,-0.004897
7.632980,-0.002068,-0.005720,0.000128
7.663099,0.004602,-0.002427,0.000175
7.693218,0.003239,0.001977,0.000895
7.733376,-0.009091,-0.012159,-0.001033
7.763494,-0.000389,-0.000018,-0.001753
7.793613,-0.005215,-0.004322,-0.006853
