time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.847358,-0.001186,-0.002004,-0.006442
4.877477,0.000385,-0.000613,-0.008280
4.917636,-0.008201,-0.000294,0.000912
4.947755,0.001215,-0.000092,-0.000617
4.977874,-0.004859,-0.000611,-0.004791
5.018033,0.002227,0.000050,-0.003684
5.048152,-0.007892,-0.006603,0.001958
5.078271,-0.009566,-0.006222,0.001951
5.118430,0.002336,0.001091,-0.005436
5.148549,0.002559,-0.002892,-0.003508
5.178668,-0.001747,-0.001127,-0.005858
5.218827,-0.003817,-0.000782,-0.000643
5.248946,-0.003128,0.000238,-0.001549
5.279065,-0.000010,-0.002536,-0.001977
5.319224,-0.000271,-0.002540,-0.003614
5.349343,-0.006253,-0.002512,-0.003927
5.379462,-0.006345,-0.005584,-0.005721
5.419621,-0.002861,-0.001011,-0.000532
5.449740,0.000874,0.000361,-0.005556
5.479859,-0.002922,-0.003855,-0.000621
5.520018,-0.003008,-0.000909,-0.000610
5.550137,0.000010,-0.001515,-0.002409
5.580256,-0.001728,-0.002890,-0.004175
5.620415,-0.008002,-0.002535,-0.000329
5.650534,0.006466,0.001303,-0.003469
5.680653,-0.001713,0.001685,-0.003138
5.710773,-0.004156,-0.003185,-0.001517
5.750931,0.003311,0.001565,-0.003632
5.781051,0.000513,-0.000778,-0.003687
5.811170,-0.008091,-0.000378,0.000564
5.851329,-0.007201,-0.002712,0.002092
5.881448,0.000392,-0.004698,-0.006305
5.911567,0.007470,-0.004184,-0.010813
5.951726,-0.011248,-0.003942,-0.003076
5.981845,-0.004789,0.000876,-0.001014
6.011964,0.000395,0.001162,-0.005485
6.052123,-0.001622,-0.004099,-0.003836
6.082241,-0.005278,-0.000287,-0.003306
6.112360,-0.002274,-0.004768,-0.002003
6.152519,-0.000561,-0.002258,-0.000944
6.182638,0.001948,-0.000572,-0.001375
6.212757,-0.001908,-0.003789,-0.001312
6.252916,0.001890,-0.001829,-0.002088
6.283035,-0.000462,-0.002419,0.000242
6.313154,-0.002066,-0.000378,-0.000014
6.353313,-0.002902,-0.002744,0.001112
6.383432,-0.000294,-0.003068,-0.002299
6.413551,0.001452,-0.004161,-0.003997
