Date_time,Second,X,Y,Z,Profile,Activity
1/8/2020 19:24,701,0.9887848,1.3549042,0.23706055,AR,stairsu
1/8/2020 19:24,711,0.8928833,1.1032257,0.19552612,AR,stairsu
1/8/2020 19:24,721,0.73405457,0.97309875,0.14544678,AR,stairsu
1/8/2020 19:24,731,0.5801239,0.9211731,0.10328674,AR,stairsu
1/8/2020 19:24,741,0.4341278,0.9450073,0.10694885,AR,stairsu
1/8/2020 19:24,751,0.31134033,1.0537262,0.21751404,AR,stairsu
1/8/2020 19:24,761,0.24291992,1.2137909,0.34213257,AR,stairsu
1/8/2020 19:24,771,0.28079224,1.451416,0.43865967,AR,stairsu
1/8/2020 19:24,782,0.39501953,1.627945,0.45759583,AR,stairsu
1/8/2020 19:24,791,0.55018616,1.7690582,0.44110107,AR,stairsu
1/8/2020 19:24,801,0.6894684,1.9028473,0.41667175,AR,stairsu
1/8/2020 19:24,811,0.7682648,2.0531158,0.40872192,AR,stairsu
1/8/2020 19:24,822,0.765213,2.100769,0.3513031,AR,stairsu
1/8/2020 19:24,831,0.40785217,1.8747406,0.1564331,AR,stairsu
1/8/2020 19:24,841,-0.037460327,1.4807281,0.031814575,AR,stairsu
1/8/2020 19:24,851,-0.5218811,1.0128174,-0.048202515,AR,stairsu
1/8/2020 19:24,861,-0.9720917,0.49845886,-0.04269409,AR,stairsu
1/8/2020 19:24,871,-1.1474152,0.19973755,0.019592285,AR,stairsu
1/8/2020 19:24,881,-1.1834564,0.025634766,0.05380249,AR,stairsu
1/8/2020 19:24,891,-1.0771637,-0.0158844,0.055648804,AR,stairsu
1/8/2020 19:24,902,-0.8969574,0.065963745,0.0574646,AR,stairsu
1/8/2020 19:24,911,-0.713089,0.23699951,0.044647217,AR,stairsu
1/8/2020 19:24,921,-0.5426483,0.55892944,0.022659302,AR,stairsu
1/8/2020 19:24,931,-0.4754486,0.78800964,0.034866333,AR,stairsu
1/8/2020 19:24,941,-0.4742279,0.89979553,0.1063385,AR,stairsu
1/8/2020 19:24,952,-0.59213257,0.8973541,0.27983093,AR,stairsu
1/8/2020 19:24,961,-0.86213684,0.78434753,0.64941406,AR,stairsu
1/8/2020 19:24,971,-1.2268372,0.37506104,0.9407959,AR,stairsu
1/8/2020 19:24,981,-1.6403961,-0.14477539,0.95666504,AR,stairsu
1/8/2020 19:24,992,-2.0209503,-0.58766174,0.6701813,AR,stairsu
1/8/2020 19:24,1001,-2.2995148,-0.91386414,0.20713806,AR,stairsu
1/8/2020 19:24,1011,-2.4839935,-1.2376251,-0.40005493,AR,stairsu
1/8/2020 19:24,1021,-2.5768433,-1.5088501,-0.7653656,AR,stairsu
1/8/2020 19:24,1031,-2.7008514,-1.8301697,-1.0378113,AR,stairsu
1/8/2020 19:24,1042,-2.8749542,-2.1514893,-1.2051849,AR,stairsu
1/8/2020 19:24,1051,-3.0294952,-2.454483,-1.2809296,AR,stairsu
1/8/2020 19:24,1061,-3.0655518,-2.9535675,-1.3634033,AR,stairsu
1/8/2020 19:24,1071,-2.9873505,-3.318863,-1.4684753,AR,stairsu
1/8/2020 19:24,1081,-2.8260803,-3.59375,-1.5423889,AR,stairsu
1/8/2020 19:24,1091,-2.5511932,-3.8106232,-1.6346283,AR,stairsu
1/8/2020 19:24,1101,-2.2292633,-3.8423767,-1.7268677,AR,stairsu
1/8/2020 19:24,1111,-1.8279266,-3.70372,-1.8502655,AR,stairsu
1/8/2020 19:24,1121,-1.5127106,-3.495407,-1.9938202,AR,stairsu
1/8/2020 19:24,1131,-1.1743011,-3.3585663,-2.0927734,AR,stairsu
1/8/2020 19:24,1141,-0.8224335,-3.2058563,-2.1129456,AR,stairsu
1/8/2020 19:24,1151,-0.50660706,-2.9981537,-2.0500183,AR,stairsu
1/8/2020 19:24,1161,-0.2598114,-2.7965698,-1.8973083,AR,stairsu
1/8/2020 19:24,1171,-0.04663086,-2.513733,-1.6608887,AR,stairsu
1/8/2020 19:24,1181,0.06454468,-2.2761078,-1.522232,AR,stairsu
1/8/2020 19:24,1192,0.1402893,-1.9364624,-1.4177704,AR,stairsu
1/8/2020 19:24,1201,0.20565796,-1.76297,-1.3921051,AR,stairsu
1/8/2020 19:24,1212,0.3021698,-1.376297,-1.3328552,AR,stairsu
1/8/2020 19:24,1221,0.33943176,-1.1227875,-1.3340912,AR,stairsu
1/8/2020 19:24,1231,0.4365692,-0.83506775,-1.4244843,AR,stairsu
1/8/2020 19:24,1241,0.49215698,-0.76420593,-1.4599152,AR,stairsu
1/8/2020 19:24,1251,0.4689331,-0.8540039,-1.3310242,AR,stairsu
1/8/2020 19:24,1262,0.34492493,-1.0751343,-1.1428833,AR,stairsu
1/8/2020 19:24,1271,0.26856995,-1.1282806,-1.1624298,AR,stairsu
1/8/2020 19:24,1281,0.24291992,-1.171051,-1.0268097,AR,stairsu
1/8/2020 19:24,1291,0.35958862,-1.0293121,-0.8991394,AR,stairsu
1/8/2020 19:24,1301,0.48971558,-0.65730286,-0.872879,AR,stairsu
1/8/2020 19:24,1312,0.5850067,-0.1960907,-0.9034271,AR,stairsu
1/8/2020 19:24,1321,0.68395996,0.20339966,-0.9400635,AR,stairsu
1/8/2020 19:24,1331,0.88067627,0.37750244,-0.95106506,AR,stairsu
1/8/2020 19:24,1341,1.0046692,0.31518555,-0.8771515,AR,stairsu
1/8/2020 19:24,1351,1.0144501,0.1979065,-0.7323761,AR,stairsu
1/8/2020 19:24,1362,0.93136597,0.029922485,-0.54667664,AR,stairsu
1/8/2020 19:24,1371,0.7878113,-0.23947144,-0.3695221,AR,stairsu
1/8/2020 19:24,1381,0.55262756,-0.63409424,-0.25712585,AR,stairsu
1/8/2020 19:24,1392,0.32966614,-0.90042114,-0.19480896,AR,stairsu
1/8/2020 19:24,1401,0.063934326,-0.96640015,-0.16365051,AR,stairsu
1/8/2020 19:24,1411,-0.13336182,-0.96029663,-0.16854858,AR,stairsu
1/8/2020 19:24,1421,-0.47973633,-0.83262634,-0.38601685,AR,stairsu
1/8/2020 19:24,1431,-0.64527893,-0.72328186,-0.49353027,AR,stairsu
1/8/2020 19:24,1441,-0.7362976,-0.6310425,-0.47947693,AR,stairsu
1/8/2020 19:24,1451,-0.7637787,-0.78131104,-0.42510986,AR,stairsu
1/8/2020 19:24,1461,-0.7827301,-1.0213776,-0.43670654,AR,stairsu
1/8/2020 19:24,1471,-0.7876129,-1.233963,-0.44221497,AR,stairsu
1/8/2020 19:24,1481,-0.83709717,-1.1893768,-0.44831848,AR,stairsu
1/8/2020 19:24,1491,-0.9006195,-1.0983582,-0.4922943,AR,stairsu
1/8/2020 19:24,1502,-0.9745331,-0.9938965,-0.5112457,AR,stairsu
1/8/2020 19:24,1511,-1.009964,-0.93769836,-0.5130768,AR,stairsu
1/8/2020 19:24,1521,-1.0405121,-0.86561584,-0.5326233,AR,stairsu
1/8/2020 19:24,1531,-1.0392914,-0.83262634,-0.60409546,AR,stairsu
1/8/2020 19:24,1541,-1.0319672,-0.83140564,-0.63645935,AR,stairsu
1/8/2020 19:24,1551,-1.047226,-0.7990265,-0.66090393,AR,stairsu
1/8/2020 19:24,1561,-1.1138153,-0.6334839,-0.6468506,AR,stairsu
1/8/2020 19:24,1571,-1.2665253,-0.40257263,-0.5582733,AR,stairsu
1/8/2020 19:24,1581,-1.3618317,-0.4068451,-0.46420288,AR,stairsu
1/8/2020 19:24,1591,-1.4381866,-0.4215088,-0.34873962,AR,stairsu
