Date_time,Seconds,X,Y,Z,Profile,Activity
1/9/2020 11:57,0.1,-0.9020996,4.9914246,7.939392,AR,stand
1/9/2020 11:57,0.1,-0.825531,5.223526,8.551941,AR,stand
1/9/2020 11:57,0.1,-0.28953552,5.2378845,8.748154,AR,stand
1/9/2020 11:57,0.101,-0.5312042,5.374283,8.946762,AR,stand
1/9/2020 11:57,0.099,-1.1485596,5.5944214,9.872787,AR,stand
1/9/2020 11:57,0.1,-0.75613403,3.883545,8.666809,AR,stand
1/9/2020 11:57,0.1,-0.17706299,3.9553375,7.4249268,AR,stand
1/9/2020 11:57,0.101,-0.9523468,4.675583,9.190826,AR,stand
1/9/2020 11:57,0.099,-1.1988068,4.668396,9.250656,AR,stand
1/9/2020 11:57,0.101,0.04547119,4.3238373,8.774475,AR,stand
1/9/2020 11:57,0.099,0.3014984,4.58226,9.308075,AR,stand
1/9/2020 11:57,0.101,-0.30867004,5.297714,9.119049,AR,stand
1/9/2020 11:57,0.099,-0.24645996,3.7998047,9.748352,AR,stand
1/9/2020 11:57,0.101,-1.1174469,3.9385834,8.178665,AR,stand
1/9/2020 11:57,0.099,-0.32781982,4.2113647,8.910873,AR,stand
1/9/2020 11:57,0.101,-0.33738708,4.065399,9.214767,AR,stand
1/9/2020 11:57,0.099,-0.4019928,4.2879333,9.195618,AR,stand
1/9/2020 11:57,0.1,-1.0552368,4.54158,8.930008,AR,stand
1/9/2020 11:57,0.1,-0.5886383,4.158722,9.018555,AR,stand
1/9/2020 11:57,0.1,-0.062210083,4.3908234,8.295914,AR,stand
1/9/2020 11:57,0.101,-0.2416687,4.1515503,9.241089,AR,stand
1/9/2020 11:57,0.099,0.5144501,3.9553375,8.415558,AR,stand
1/9/2020 11:57,0.1,0.22970581,4.165909,9.28894,AR,stand
1/9/2020 11:57,0.1,0.110076904,4.388443,9.157333,AR,stand
1/9/2020 11:57,0.1,-0.0765686,4.455429,8.839081,AR,stand
1/9/2020 11:57,0.1,-0.7848511,5.25943,8.018356,AR,stand
1/9/2020 11:57,0.101,-1.1820526,4.5296173,9.233902,AR,stand
1/9/2020 11:57,0.099,-1.3423767,4.9076843,8.312668,AR,stand
1/9/2020 11:57,0.1,-1.3232269,4.577469,8.618942,AR,stand
1/9/2020 11:57,0.1,-1.1318054,4.237686,8.877365,AR,stand
1/9/2020 11:57,0.101,-1.8017883,4.6731873,9.150162,AR,stand
1/9/2020 11:57,0.099,-0.83987427,4.199402,9.32962,AR,stand
1/9/2020 11:57,0.1,-1.1270142,4.216156,9.233902,AR,stand
1/9/2020 11:57,0.1,-1.0193481,4.6325073,8.303101,AR,stand
1/9/2020 11:57,0.1,-2.2133636,4.1036835,9.176468,AR,stand
1/9/2020 11:57,0.1,-1.5385895,4.771286,8.286346,AR,stand
1/9/2020 11:57,0.1,-0.38523865,5.127823,8.798416,AR,stand
1/9/2020 11:57,0.1,0.41156006,5.0201416,9.171692,AR,stand
1/9/2020 11:57,0.101,0.74417114,4.5966187,9.556931,AR,stand
1/9/2020 11:57,0.099,0.32781982,3.8739777,9.245865,AR,stand
1/9/2020 11:57,0.1,-1.1868439,4.72583,8.049454,AR,stand
1/9/2020 11:57,0.101,-0.67477417,4.816757,8.221741,AR,stand
1/9/2020 11:57,0.099,0.03111267,5.11586,9.114258,AR,stand
1/9/2020 11:57,0.101,0.22732544,4.8382874,8.233704,AR,stand
1/9/2020 11:57,0.099,-0.028717041,5.4006042,8.468201,AR,stand
1/9/2020 11:57,0.1,0.17228699,5.108673,8.149948,AR,stand
1/9/2020 11:57,0.1,-0.5407715,5.4723816,8.283951,AR,stand
1/9/2020 11:57,0.1,-0.52163696,5.1924286,8.583054,AR,stand
1/9/2020 11:57,0.101,0.19142151,5.3766785,7.975281,AR,stand
1/9/2020 11:57,0.099,0.21774292,5.17807,9.310471,AR,stand
1/9/2020 11:58,0.1,-0.1268158,5.247467,8.626129,AR,stand
1/9/2020 11:58,0.102,0.16270447,5.144562,8.705093,AR,stand
1/9/2020 11:58,0.098,-0.03111267,5.2546387,8.415558,AR,stand
1/9/2020 11:58,0.101,-0.112457275,5.2785645,8.111664,AR,stand
1/9/2020 11:58,0.099,-0.026321411,5.3288116,8.288742,AR,stand
