Time_stamp,Seconds,X,Y,Z,profile,Activity
1/8/2020 17:09,0.099,0.33337402,0.42193604,-0.6857605,AR,laying
1/8/2020 17:09,0.1,0.45492554,0.17636108,-0.6460571,AR,laying
1/8/2020 17:09,0.101,0.23928833,0.20262146,-0.08282471,AR,laying
1/8/2020 17:09,0.1,-0.13821411,-0.028884888,0.003295898,AR,laying
1/8/2020 17:09,0.099,-0.41004944,-0.5731659,0.4345703,AR,laying
1/8/2020 17:09,0.1,-0.5303955,-0.6831207,0.6691437,AR,laying
1/8/2020 17:09,0.1,-0.3318634,-0.1797638,0.66548157,AR,laying
1/8/2020 17:09,0.101,-0.09422302,-0.040496826,0.50909424,AR,laying
1/8/2020 17:09,0.099,0.012054443,0.30770874,0.44496155,AR,laying
1/8/2020 17:09,0.101,0.28511047,0.23561096,0.1334076,AR,laying
1/8/2020 17:09,0.099,-0.021530151,-0.03742981,0.009414673,AR,laying
1/8/2020 17:09,0.1,-0.1999054,-0.20237732,0.23176575,AR,laying
1/8/2020 17:09,0.1,0.016937256,-0.063705444,-0.050445557,AR,laying
1/8/2020 17:09,0.1,0.25212097,0.12626648,0.06010437,AR,laying
1/8/2020 17:09,0.1,0.21914673,0.05357361,0.061935425,AR,laying
1/8/2020 17:09,0.1,-0.027648926,-0.25245667,0.027114868,AR,laying
1/8/2020 17:09,0.1,-0.06062317,-0.408844,0.012466431,AR,laying
1/8/2020 17:09,0.1,0.020004272,3.015686,-0.21598816,AR,laying
1/8/2020 17:09,0.101,0.27105713,0.51112366,0.17677307,AR,laying
1/8/2020 17:09,0.099,-0.2988739,-0.5469055,-0.2960205,AR,laying
1/8/2020 17:09,0.1,0.22769165,0.42559814,0.12364197,AR,laying
1/8/2020 17:09,0.1,-0.29948425,-0.77659607,-0.13414001,AR,laying
1/8/2020 17:09,0.101,0.29916382,-0.34776306,0.09553528,AR,laying
1/8/2020 17:09,0.099,0.2783966,0.2154541,0.054000854,AR,laying
1/8/2020 17:09,0.1,0.25457764,0.43719482,0.06376648,AR,laying
1/8/2020 17:09,0.1,0.05419922,-0.05821228,0.034454346,AR,laying
1/8/2020 17:09,0.1,-0.07711792,-0.100357056,-0.010742188,AR,laying
1/8/2020 17:09,0.101,-0.10522461,-0.20481873,-0.034576416,AR,laying
1/8/2020 17:09,0.099,-0.06613159,-0.020324707,-0.049835205,AR,laying
1/8/2020 17:09,0.101,0.08413696,0.00227356,-0.19584656,AR,laying
1/8/2020 17:09,0.1,0.07925415,0.29304504,-0.3400116,AR,laying
1/8/2020 17:09,0.099,0.1794281,0.16719055,-0.1451416,AR,laying
1/8/2020 17:09,0.1,0.056030273,0.22706604,-0.038848877,AR,laying
1/8/2020 17:09,0.101,0.068862915,0.060287476,0.03994751,AR,laying
1/8/2020 17:09,0.099,-0.047195435,-0.1162262,0.042999268,AR,laying
1/8/2020 17:09,0.1,-0.025802612,-0.031326294,0.02468872,AR,laying
1/8/2020 17:09,0.101,-0.01298523,0.001037598,0.006362915,AR,laying
1/8/2020 17:09,0.099,0.037704468,0.011428833,0.027740479,AR,laying
1/8/2020 17:09,0.1,0.011444092,0.004714966,0.003921509,AR,laying
1/8/2020 17:09,0.1,0.026107788,-0.02217102,0.010025024,AR,laying
1/8/2020 17:09,0.1,-0.001983643,-0.03315735,0.05583191,AR,laying
1/8/2020 17:09,0.1,-0.063079834,-0.15228271,0.12669373,AR,laying
1/8/2020 17:09,0.1,-0.079574585,-0.11074829,0.069885254,AR,laying
