Date_time,X,Y,Z,ts,Profile,Activity
2020-01-09 11:20:03.127,-0.025554,0.125655,0.01378,1578568803.0,MG,stand
2020-01-09 11:20:03.228,0.087255,-0.722405,0.49535,1578568803.0,MG,stand
2020-01-09 11:20:03.327,0.6780649999999999,1.881373,1.140096,1578568803.0,MG,stand
2020-01-09 11:20:03.427,1.8246,0.862452,-0.7838649999999999,1578568803.0,MG,stand
2020-01-09 11:20:03.527,1.153369,0.046289,-0.797512,1578568803.0,MG,stand
2020-01-09 11:20:03.627,-0.166485,0.632916,-0.8741389999999999,1578568803.0,MG,stand
2020-01-09 11:20:03.727,-2.339547,2.062287,-1.202901,1578568803.0,MG,stand
2020-01-09 11:20:03.827,-1.277342,0.916279,-0.137487,1578568803.0,MG,stand
2020-01-09 11:20:03.928,-1.045917,-0.429303,0.16583699999999998,1578568803.0,MG,stand
2020-01-09 11:20:04.027,-0.384378,-0.044452,0.442711,1578568804.0,MG,stand
2020-01-09 11:20:04.127,-0.193448,1.064731,0.045425,1578568804.0,MG,stand
2020-01-09 11:20:04.227,-0.335111,1.051934,-0.32550300000000004,1578568804.0,MG,stand
2020-01-09 11:20:04.327,-0.381972,0.80889,-0.471308,1578568804.0,MG,stand
2020-01-09 11:20:04.427,-0.132903,0.025247,-0.205508,1578568804.0,MG,stand
2020-01-09 11:20:04.527,0.041084,0.023883,-0.052702,1578568804.0,MG,stand
2020-01-09 11:20:04.627,0.237597,0.094164,-0.287331,1578568804.0,MG,stand
2020-01-09 11:20:04.727,0.246447,0.104191,-0.251495,1578568804.0,MG,stand
2020-01-09 11:20:04.827,0.140714,0.429962,-0.4576810000000001,1578568804.0,MG,stand
2020-01-09 11:20:04.927,0.18343,1.671918,-1.2288629999999998,1578568804.0,MG,stand
2020-01-09 11:20:05.027,0.518055,1.889931,-1.742333,1578568805.0,MG,stand
2020-01-09 11:20:05.127,1.262615,0.738753,-1.170754,1578568805.0,MG,stand
2020-01-09 11:20:05.227,0.984683,-0.060377,-0.6278819999999999,1578568805.0,MG,stand
2020-01-09 11:20:05.327,0.38665,0.055832000000000014,0.137232,1578568805.0,MG,stand
2020-01-09 11:20:05.427,-0.337803,0.042086,0.393474,1578568805.0,MG,stand
2020-01-09 11:20:05.527,-0.263125,0.271681,0.26095300000000005,1578568805.0,MG,stand
2020-01-09 11:20:05.627,0.329774,0.864342,-0.14569,1578568805.0,MG,stand
2020-01-09 11:20:05.727,0.803154,1.264875,-0.32308000000000003,1578568805.0,MG,stand
2020-01-09 11:20:05.827,0.030887,0.209602,0.032867,1578568805.0,MG,stand
2020-01-09 11:20:05.927,0.013469,0.014321,0.213572,1578568805.0,MG,stand
2020-01-09 11:20:06.027,-0.041507,-0.003084,0.133228,1578568806.0,MG,stand
2020-01-09 11:20:06.127,0.055211,0.079039,-0.108875,1578568806.0,MG,stand
2020-01-09 11:20:06.227,0.08376,0.12675899999999998,-0.07319400000000001,1578568806.0,MG,stand
2020-01-09 11:20:06.327,-0.118011,-0.16178900000000002,0.11046,1578568806.0,MG,stand
2020-01-09 11:20:06.427,0.093173,0.033902,-0.023141,1578568806.0,MG,stand
2020-01-09 11:20:06.527,-0.125386,0.112795,0.03308,1578568806.0,MG,stand
2020-01-09 11:20:06.627,-0.034372,-0.131465,0.117269,1578568806.0,MG,stand
