,Date_time,X,Y,Z,Profile,Activity,ts
0,2020-01-08 17:09:00,0.96191406,5.38385,7.843673700000001,AR,laying,1578503340
1,2020-01-08 17:09:00,1.3423767,5.295318599999999,8.288742,AR,laying,1578503340
2,2020-01-08 17:09:00,0.98106384,5.412567,8.159531,AR,laying,1578503340
3,2020-01-08 17:09:00,1.0576324,5.32164,8.444275,AR,laying,1578503340
4,2020-01-08 17:09:00,0.7082825,5.4364930000000005,8.152344,AR,laying,1578503340
5,2020-01-08 17:09:00,0.5288086,5.4891357,8.075775,AR,laying,1578503340
6,2020-01-08 17:09:00,0.61735535,5.481964,8.080566000000001,AR,laying,1578503340
7,2020-01-08 17:09:00,1.3375854,5.046463,8.465805,AR,laying,1578503340
8,2020-01-08 17:09:00,1.5433655000000002,5.4149629999999975,7.8149567,AR,laying,1578503340
9,2020-01-08 17:09:00,1.3088684,5.30011,8.240875,AR,laying,1578503340
10,2020-01-08 17:09:00,-0.9068755999999999,4.0343018,8.0327,AR,laying,1578503340
11,2020-01-08 17:09:00,0.85902405,5.211563,7.8580320000000015,AR,laying,1578503340
12,2020-01-08 17:09:00,1.7467651000000002,4.6349029999999996,9.152542,AR,laying,1578503340
13,2020-01-08 17:09:00,-0.06700134,3.8476562000000007,7.8747864000000005,AR,laying,1578503340
14,2020-01-08 17:09:00,2.5100708,3.9792633,10.597809,AR,laying,1578503340
15,2020-01-08 17:09:00,-0.95951843,6.4749756,8.135605,AR,laying,1578503340
16,2020-01-08 17:09:00,-0.46180725,5.460418700000001,8.791229,AR,laying,1578503340
17,2020-01-08 17:09:00,0.4355011,5.359924299999999,8.353348,AR,laying,1578503340
18,2020-01-08 17:09:00,-0.5862427,5.5369873,8.386841,AR,laying,1578503340
19,2020-01-08 17:09:00,0.36131287,5.268997,8.221741,AR,laying,1578503340
20,2020-01-08 17:09:00,1.4811553999999998,4.823929,7.8652039999999985,AR,laying,1578503340
21,2020-01-08 17:09:00,0.8159485,5.4676056,8.968292,AR,laying,1578503340
22,2020-01-08 17:09:00,0.7848510999999999,5.2498474,8.295914,AR,laying,1578503340
23,2020-01-08 17:09:00,0.24645996,5.460418700000001,8.489730999999999,AR,laying,1578503340
24,2020-01-08 17:09:00,0.35653687,5.350357,8.475372,AR,laying,1578503340
25,2020-01-08 17:09:00,0.49291992,5.4915314,8.252853,AR,laying,1578503340
26,2020-01-08 17:09:00,0.8494568000000001,5.391037,8.212173,AR,laying,1578503340
